2024/06/16 11:01:23 [error] 31#31: *3 open() "/var/www/html404" failed (2: No such file or directory), client: 192.168.16.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", host: "localhost:8443"
2024/06/16 11:01:25 [error] 31#31: *3 open() "/var/www/html404" failed (2: No such file or directory), client: 192.168.16.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", host: "localhost:8443"
2024/06/16 20:51:10 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:10 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:10 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:10 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:10 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:51:38 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/ HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:38 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:39 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:39 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:39 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:40 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:40 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:40 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:42 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:46 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
2024/06/16 20:52:46 [error] 31#31: *3 upstream sent unsupported FastCGI protocol version: 72 while reading response header from upstream, client: 172.26.0.1, server: $host, request: "GET /wp-admin/install.php HTTP/2.0", upstream: "fastcgi://172.26.0.3:80", host: "localhost"
